city_name,hub_name,hub_id,product_id,product_name,category,new_catg,RM,RM_Category,order_type,sku_class,price,day,date,hub_type,sku_recency,flag,r7_plan,r7_inv,r7_plan_rev,r7_inv_rev,hub_dist,sampling_plan,sub_catg,Classification,AF.50,...1,rm_category,Cut_Classification,Xmas,...25,...26,RM_id,Original_city,GFD,Flag,RM_Id,Next.day,RM.Id,...24,product_id...8,product_id...9,Hub.SKU.Day,pr_o2hlatbhe9i,Indent.file,Buff,hub.sku.day,city.sku.day,BasePlan,BaseRev
Chennai,ANGR,138,pr_mmfjrt7mcyl,Classic Chicken Nuremberger,Cold Cuts,Others,Chicken Nuremberger,,E,Head,263.0,Wednesday,2023-02-22,Online,Old,,1.0,1.0,263.0,263.0,,,,VA-Head,Low AF50,,Chicken Nuremberger,Cold Cuts - All,,,,,Chennai,NA,,123.0,,,,,,,,,,,,,
NCR,GZB,48,pr_15qko17kd1y,Chunky Creamy-Tomato Egg Spread - 200 gms jar,Spreads,Others,Shawarma,,E,Tail,131.0,Monday,2023-02-06,Online,Old,,0.0,0.0,0.0,0.0,,,,VA-Torso,Non AF50,,NA,Spreads,,,,,,,,,,,,,,,,,,,,,
NCR,NOI,33,pr_57a85a7e4bb3a,Seer Large - Head and Tail,Fish & Seafood,Fish & Seafood,Seer ( Medium ),,E,,249.0,Wednesday,2023-06-07,Online,Old,,0.0,0.0,0.0,0.0,,,,Tail,High Volume,,Seer,Fish & Seafood - SFG,,,,,,,,,,,,,,,,,,,,,
Bangalore,BEG,134,pr_k7qlberc6pw,Stuffed Chicken Breast,Ready to Cook,Ready to Cook,Chicken Breast Boneless,,E,,356.0,Friday,2023-09-08,Online,Old,,0.0,0.0,0.0,0.0,,,,VA-Tail,High Volume,,Chicken,Chicken - BL,,,,,,,,,,,,,,,,,,,,,
Kolkata,SNP,220,pr_925l2ej2suw,Classic Lamb Burger Patty,Burger,Burger,Lamb carcass,,E,Tail,307.0,Saturday,2023-02-25,Online,Old,,0.0,0.0,0.0,0.0,,,,VA-Tail,Non AF50,,Lamb carcass,Lamb & Goat - SFG,,,,,Kolkata,NA,,14.0,,,,,,,,,,,,,
NCR,SPC,52,pr_4q4jya5vg2a,Chunky Shawarma Chicken Spread (Single Serve),Spreads,Spreads,Shawarma,,E,,40.0,Sunday,2023-05-07,Online,Old,,1.0,1.0,40.0,40.0,,,,VA-Torso,Low Volume,,NA,Spreads,,,,,,,,,,,,,,,,,,,,,
Mumbai,DOM,105,pr_ggvktiq0rck,Crispy Prawns,Ready to Cook,Ready to Cook,Prawn medium (40 to 60 Count),,E,,312.0,Sunday,2023-10-22,Online,Old,,0.0,0.0,0.0,0.0,,,,VA-Torso,Low Volume,,Prawn,Prawn - Peeled & Deveined,,,,,,,,,,,,,,,,,,,,,
Hyderabad,LBN,374,pr_576360a8b87f1,Mutton Liver Chunks,Lamb & Goat,Lamb & Goat,Lamb liver,,E,,325.0,Monday,2023-07-10,Online,Old,,2.0,3.0,650.0,975.0,,,,Target Group,Low Volume,,Lamb & Goat Offals,Lamb & Goat - Offals,,,,,,,,,,,,,,,,,,,,,
Chennai,NVL,113,pr_wtlilczo7b,Amma's Meat Masala,Masalas,Masalas,Masalas,,E,,59.0,Saturday,2023-10-21,Online,Old,,1.0,1.0,59.0,59.0,,,,VA-Tail,Low Volume,,Masalas,Masala,,,,,,,,,,,,,,,,,,,,,
Pune,WKD,58,pr_96hkwkfjg7l,Tilapia Large - Fillet,Fish & Seafood,Fish & Seafood,Tilapia (Large),,E,,259.0,Wednesday,2023-06-28,Online,Old,,0.0,0.0,0.0,0.0,,,,Tail,High Volume,,Tilapia,Fish & Seafood - Cubes/Fillet,,,,,,,,,,,,,,,,,,,,,
NCR,SMS,157,pr_av4kgtb3l1h,Chicken Curry Cut Small - Large Pack,Chicken,Chicken,Chicken,,E,,359.0,Wednesday,2023-06-07,Online,Old,,18.0,22.0,6462.0,7898.0,,,,Tail,High Volume,,Chicken Curry Cut (Small),Chicken - CC,,,,,,,,,,,,,,,,,,,,,
