city_name,hub_name,hub_id,product_id,product_name,category,new_catg,RM,RM_Category,order_type,sku_class,price,day,date,hub_type,sku_recency,flag,r7_plan,r7_inv,r7_plan_rev,r7_inv_rev,hub_dist,sampling_plan,sub_catg,Classification,AF.50,...1,rm_category,Cut_Classification,Xmas,...25,...26,RM_id,Original_city,GFD,Flag,RM_Id,Next.day,RM.Id,...24,product_id...8,product_id...9,Hub.SKU.Day,pr_o2hlatbhe9i,Indent.file,Buff,BasePlan,BaseRev,pr_io2l5gg3wmg,Correct_City,buffer_qty_at_upstream,...28
Bangalore,TUB,1,pr_jwnku2pb232,Mutton Kosha,Ready to Cook,Ready to Cook,Goat carcass,,E,Tail,439.0,Friday,2023-03-03,Online,Old,,0,0,0.0,0.0,,,,VA-Tail,Non AF50,,Goat carcass,Lamb & Goat - SFG,,,,,,,,13.0,,,,,,,,,,,,,,,
Chennai,TNGR,95,pr_59a6c8bfc844b,"Pink Perch Medium - Whole, Cleaned",Fish & Seafood,Fish & Seafood,Pink perch,,E,,435.0,Saturday,2023-04-15,Online,Old,,0,0,0.0,0.0,,,,Target Group,Low Volume,,Pink perch,Small Fishes,,,,,,,,,,,,,,,,,,,,,,,
Mumbai,POW,64,pr_ffojtqtypir,Premium Chicken Curry Cut,Chicken,Chicken,Chicken,,E,Tail,185.0,Sunday,2023-02-26,Online,Old,,0,0,0.0,0.0,,,,Tail,Non AF50,,Chicken,Chicken - CC,,,,,Mumbai,NA,,1.0,,,,,,,,,,,,,,,
Pune,WGH,93,pr_fmnkgkvc59i,Tandoori Chicken,Kebab & Tandoor,Kebab & Tandoor,Chicken tandoor,,E,,267.0,Friday,2023-06-23,Online,Old,,3,3,801.0,801.0,,,,VA-Torso,Low Volume,,Frozen Tandoori,Chicken - CC,,,,,,,,,,,,,,,,,,,,,,,
Mumbai,MLD,79,pr_86hlewpmyn4,Plant based Chick~n Keema fry,PBM,PBM,,,E,,249.0,Monday,2023-12-04,Online,Old,,1,1,249.0,249.0,,,,VA-Tail,High Volume,,PBM,PBM-All,,,,,,,,,,,,,,,,,,,,,,,
NCR,BKC,26,pr_k7qlberc6pw,Stuffed Chicken Breast,Ready to Cook,Ready to Cook,Chicken Breast Boneless,,E,,356.0,Tuesday,2023-09-19,Online,Old,,0,0,0.0,0.0,,,,VA-Tail,Low Volume,,Chicken,Chicken - BL,,,,,,,,,,,,,,,,,,,,,,,
Pune,MGP,59,pr_k0vkwxn86nt,Tilapia Small - Whole Cleaned & Gutted,Fish & Seafood,Fish & Seafood,Tilapia,,E,,139.0,Wednesday,2023-06-07,Online,Old,,2,2,278.0,278.0,,,,Tail,High Volume,,Tilapia,Fish & Seafood - Whole,,,,,,,,,,,,,,,,,,,,,,,
Kolkata,Kolkata,-1,pr_5746a7a8198ef,Indian Salmon Large Steaks,Fish & Seafood,Fish & Seafood,Indian Salmon ( Large ),,P,,979.0,Sunday,2023-08-06,Online,Old,,0,0,0.0,0.0,,,,Tail,Low Volume,,Indian Salmon,Fish & Seafood - Steaks,,,,,,,,,,,,,,,,,,,,,,,
Pune,WGH,93,pr_lbwl3bm6n7x,Chicken Sausage with Thyme & Cheese,Cold Cuts,Cold Cuts,Chicken,,E,,242.0,Sunday,2023-04-16,Online,Old,,0,0,0.0,0.0,,,,VA-Torso,Low Volume,,Chicken,Cold Cuts - All,,,,,,,,,,,,,,,,,,,,,,,
Chandigarh,CDG,53,pr_o2hlaqh6jv9,Classic Meat Masala,Masalas,Others,,,E,Tail,55.0,Friday,2023-01-13,Online,New,,5,5,275.0,275.0,,,,VA-Tail,Non AF50,,,Masala,,,,,,,,,,,,,,,,,,,,,,,
